Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,31.43,31.43,Neutro
2016-01-07,12.50,12.50,Sobrevendido
2016-01-08,11.11,11.11,Sobrevendido
2016-01-11,10.09,10.09,Sobrevendido
2016-01-12,27.41,27.41,Sobrevendido
2016-01-13,23.05,23.05,Sobrevendido
2016-01-14,25.60,30.23,Neutro
2016-01-15,25.22,26.29,Sobrevendido
2016-01-19,35.71,25.85,Sobrevendido
2016-01-20,34.14,23.94,Sobrevendido
2016-01-21,42.17,27.19,Sobrevendido
2016-01-22,33.94,30.33,Neutro
2016-01-25,30.83,26.38,Sobrevendido
2016-01-26,19.52,23.25,Sobrevendido
2016-01-27,25.15,25.20,Sobrevendido
2016-01-28,27.67,32.49,Neutro
2016-01-29,53.41,42.12,Neutro
2016-02-01,53.14,46.70,Neutro
2016-02-02,30.51,32.16,Neutro
2016-02-03,39.34,34.52,Neutro
2016-02-04,53.65,37.47,Neutro
2016-02-05,39.31,34.51,Neutro
2016-02-08,26.58,26.86,Sobrevendido
2016-02-09,26.74,34.12,Neutro
2016-02-10,28.45,35.14,Neutro
2016-02-11,33.09,32.14,Neutro
2016-02-12,38.48,38.75,Neutro
2016-02-16,37.72,43.55,Neutro
2016-02-17,58.76,50.00,Neutro
2016-02-18,86.69,48.48,Neutro
2016-02-19,85.77,47.31,Neutro
2016-02-22,84.30,46.40,Neutro
2016-02-23,91.04,53.00,Neutro
2016-02-24,90.00,54.85,Neutro
2016-02-25,77.36,48.93,Neutro
2016-02-26,77.91,64.43,Neutro
2016-02-29,76.97,82.94,Sobrecomprado
2016-03-01,75.00,81.66,Sobrecomprado
2016-03-02,73.97,80.22,Sobrecomprado
2016-03-03,76.40,84.72,Sobrecomprado
2016-03-04,78.89,84.59,Sobrecomprado
2016-03-07,88.14,83.04,Sobrecomprado
2016-03-08,45.24,61.33,Neutro
2016-03-09,56.71,66.87,Neutro
2016-03-10,45.28,59.81,Neutro
2016-03-11,58.17,64.69,Neutro
2016-03-14,53.16,63.82,Neutro
2016-03-15,36.65,55.61,Neutro
2016-03-16,48.91,64.30,Neutro
2016-03-17,68.64,58.51,Neutro
2016-03-18,67.14,62.57,Neutro
2016-03-21,76.02,63.16,Neutro
2016-03-22,70.06,63.64,Neutro
2016-03-23,51.45,52.20,Neutro
2016-03-24,65.26,49.88,Neutro
2016-03-28,49.62,49.14,Neutro
2016-03-29,51.47,62.08,Neutro
2016-03-30,50.00,60.53,Neutro
2016-03-31,45.90,65.31,Neutro
2016-04-01,37.59,56.13,Neutro
2016-04-04,60.24,53.70,Neutro
2016-04-05,42.02,56.31,Neutro
2016-04-06,56.60,53.45,Neutro
2016-04-07,34.34,41.32,Neutro
2016-04-08,33.67,40.24,Neutro
2016-04-11,23.11,31.44,Neutro
2016-04-12,27.00,31.23,Neutro
2016-04-13,42.48,47.25,Neutro
2016-04-14,46.38,44.79,Neutro
2016-04-15,36.21,45.95,Neutro
2016-04-18,62.12,45.45,Neutro
2016-04-19,64.03,46.27,Neutro
2016-04-20,79.46,42.59,Neutro
2016-04-21,75.00,44.23,Neutro
2016-04-22,67.06,49.20,Neutro
2016-04-25,72.15,53.50,Neutro
2016-04-26,62.69,43.57,Neutro
2016-04-27,27.71,48.84,Neutro
2016-04-28,73.33,69.78,Neutro
2016-04-29,78.14,78.55,Sobrecomprado
2016-05-02,81.01,79.19,Sobrecomprado
2016-05-03,69.29,68.77,Neutro
2016-05-04,71.06,71.31,Sobrecomprado
2016-05-05,68.07,67.05,Neutro
2016-05-06,79.64,67.60,Neutro
2016-05-09,59.42,68.04,Neutro
2016-05-10,66.47,73.43,Sobrecomprado
2016-05-11,47.03,66.09,Neutro
2016-05-12,63.54,66.95,Neutro
2016-05-13,56.48,64.62,Neutro
2016-05-16,60.89,65.09,Neutro
2016-05-17,48.76,66.60,Neutro
2016-05-18,50.24,53.91,Neutro
2016-05-19,29.01,48.02,Neutro
2016-05-20,49.61,48.02,Neutro
2016-05-23,42.34,55.78,Neutro
2016-05-24,67.27,60.12,Neutro
2016-05-25,70.00,64.29,Neutro
2016-05-26,89.19,63.14,Neutro
2016-05-27,89.74,64.51,Neutro
2016-05-31,100.00,57.09,Neutro
2016-06-01,100.00,73.66,Sobrecomprado
2016-06-02,100.00,70.51,Sobrecomprado
2016-06-03,83.16,74.63,Sobrecomprado
2016-06-06,84.31,76.58,Sobrecomprado
2016-06-07,85.05,87.16,Sobrecomprado
2016-06-08,82.98,86.73,Sobrecomprado
2016-06-09,85.71,92.66,Sobrecomprado
2016-06-10,49.65,72.37,Sobrecomprado
2016-06-13,48.59,70.56,Sobrecomprado
2016-06-14,60.42,69.46,Neutro
2016-06-15,50.00,64.58,Neutro
2016-06-16,44.80,63.36,Neutro
2016-06-17,29.53,50.21,Neutro
2016-06-20,36.36,56.32,Neutro
2016-06-21,53.10,51.18,Neutro
2016-06-22,53.57,50.79,Neutro
2016-06-23,69.59,65.40,Neutro
2016-06-24,58.05,54.81,Neutro
2016-06-27,37.09,39.34,Neutro
2016-06-28,47.26,41.27,Neutro
2016-06-29,53.19,47.57,Neutro
2016-06-30,61.38,59.52,Neutro
2016-07-01,61.22,59.52,Neutro
2016-07-05,47.94,55.19,Neutro
2016-07-06,55.07,56.29,Neutro
2016-07-07,85.78,56.72,Neutro
2016-07-08,87.00,64.47,Neutro
2016-07-11,81.17,62.11,Neutro
2016-07-12,68.48,62.73,Neutro
2016-07-13,63.00,61.59,Neutro
2016-07-14,76.83,53.55,Neutro
2016-07-15,64.29,57.36,Neutro
2016-07-18,64.29,78.81,Sobrecomprado
2016-07-19,32.14,75.99,Sobrecomprado
2016-07-20,33.33,68.25,Neutro
2016-07-21,22.22,48.17,Neutro
2016-07-22,55.34,59.11,Neutro
2016-07-25,53.27,63.49,Neutro
2016-07-26,73.11,69.12,Neutro
2016-07-27,61.98,63.01,Neutro
2016-07-28,27.47,28.27,Sobrevendido
2016-07-29,28.26,29.13,Sobrevendido
2016-08-01,27.56,26.48,Sobrevendido
2016-08-02,14.92,26.78,Sobrevendido
2016-08-03,19.68,29.78,Sobrevendido
2016-08-04,8.41,30.72,Neutro
2016-08-05,10.65,29.08,Sobrevendido
2016-08-08,49.33,32.18,Neutro
2016-08-09,47.22,32.18,Neutro
2016-08-10,75.47,35.12,Neutro
2016-08-11,83.33,26.01,Sobrevendido
2016-08-12,73.68,26.83,Sobrevendido
2016-08-15,93.18,22.22,Sobrevendido
2016-08-16,86.05,23.17,Sobrevendido
2016-08-17,37.10,43.80,Neutro
2016-08-18,51.25,49.34,Neutro
2016-08-19,50.63,60.61,Neutro
2016-08-22,47.62,60.61,Neutro
2016-08-23,54.35,60.00,Neutro
2016-08-24,37.00,54.17,Neutro
2016-08-25,39.39,53.52,Neutro
2016-08-26,65.82,53.19,Neutro
2016-08-29,46.88,49.31,Neutro
2016-08-30,30.49,40.37,Neutro
2016-08-31,48.48,48.09,Neutro
2016-09-01,56.41,55.50,Neutro
2016-09-02,76.19,58.85,Neutro
2016-09-06,78.10,61.86,Neutro
2016-09-07,78.72,74.09,Sobrecomprado
2016-09-08,83.33,71.78,Sobrecomprado
2016-09-09,51.57,45.90,Neutro
2016-09-12,57.31,54.83,Neutro
2016-09-13,43.82,47.66,Neutro
2016-09-14,37.50,50.82,Neutro
2016-09-15,45.45,56.31,Neutro
2016-09-16,39.56,52.90,Neutro
2016-09-19,40.00,54.48,Neutro
2016-09-20,66.27,57.91,Neutro
2016-09-21,64.37,60.05,Neutro
2016-09-22,89.86,60.24,Neutro
2016-09-23,86.09,56.27,Neutro
2016-09-26,62.60,50.99,Neutro
2016-09-27,79.01,54.25,Neutro
2016-09-28,81.22,56.36,Neutro
2016-09-29,60.17,62.68,Neutro
2016-09-30,52.24,57.62,Neutro
2016-10-03,41.44,63.22,Neutro
2016-10-04,40.11,60.65,Neutro
2016-10-05,51.72,56.39,Neutro
2016-10-06,30.56,56.21,Neutro
2016-10-07,13.10,50.92,Neutro
2016-10-10,31.91,52.24,Neutro
2016-10-11,20.47,39.94,Neutro
2016-10-12,21.85,33.67,Neutro
2016-10-13,20.80,32.37,Neutro
2016-10-14,21.43,39.00,Neutro
2016-10-17,23.08,27.20,Sobrevendido
2016-10-18,41.82,25.49,Sobrevendido
2016-10-19,40.74,36.63,Neutro
2016-10-20,47.83,31.96,Neutro
2016-10-21,54.46,36.82,Neutro
2016-10-24,74.31,45.73,Neutro
2016-10-25,65.66,40.89,Neutro
2016-10-26,54.62,38.98,Neutro
2016-10-27,17.16,24.34,Sobrevendido
2016-10-28,13.50,21.20,Sobrevendido
2016-10-31,12.80,21.26,Sobrevendido
2016-11-01,8.61,20.10,Sobrevendido
2016-11-02,0.00,20.15,Sobrevendido
2016-11-03,0.00,16.84,Sobrevendido
2016-11-04,1.89,18.23,Sobrevendido
2016-11-07,17.12,17.15,Sobrevendido
2016-11-08,18.45,14.85,Sobrevendido
2016-11-09,48.39,21.47,Sobrevendido
2016-11-10,45.00,17.66,Sobrevendido
2016-11-11,64.49,17.25,Sobrevendido
2016-11-14,79.01,30.56,Neutro
2016-11-15,80.41,35.08,Neutro
2016-11-16,80.90,58.06,Neutro
2016-11-17,85.24,63.26,Neutro
2016-11-18,67.70,62.07,Neutro
2016-11-21,80.91,69.69,Neutro
2016-11-22,79.21,74.11,Sobrecomprado
2016-11-23,73.91,76.61,Sobrecomprado
2016-11-25,74.55,77.72,Sobrecomprado
2016-11-28,53.06,67.09,Neutro
2016-11-29,40.57,62.80,Neutro
2016-11-30,41.15,54.94,Neutro
2016-12-01,20.89,46.68,Neutro
2016-12-02,26.67,47.20,Neutro
2016-12-05,20.89,39.74,Neutro
2016-12-06,23.00,41.29,Neutro
2016-12-07,31.70,40.78,Neutro
2016-12-08,42.35,41.54,Neutro
2016-12-09,51.79,46.65,Neutro
2016-12-12,100.00,43.52,Neutro
2016-12-13,100.00,46.28,Neutro
2016-12-14,86.07,40.10,Neutro
2016-12-15,77.32,36.27,Neutro
2016-12-16,58.82,39.24,Neutro
2016-12-19,41.38,42.11,Neutro
2016-12-20,54.05,52.54,Neutro
2016-12-21,45.04,70.97,Sobrecomprado
2016-12-22,28.83,65.04,Neutro
2016-12-23,39.22,64.73,Neutro
2016-12-27,43.56,60.10,Neutro
2016-12-28,50.57,55.03,Neutro
2016-12-29,41.90,41.67,Neutro
2016-12-30,22.78,41.05,Neutro
2017-01-03,21.95,36.15,Neutro
2017-01-04,53.28,41.63,Neutro
2017-01-05,52.89,46.64,Neutro
2017-01-06,52.50,48.42,Neutro
2017-01-09,57.50,54.59,Neutro
2017-01-10,78.38,60.65,Neutro
2017-01-11,83.45,62.05,Neutro
2017-01-12,96.03,66.83,Neutro
2017-01-13,95.58,73.62,Sobrecomprado
2017-01-17,80.16,66.80,Neutro
2017-01-18,80.16,66.67,Neutro
2017-01-19,76.00,66.94,Neutro
2017-01-20,75.61,76.92,Sobrecomprado
2017-01-23,61.63,75.32,Sobrecomprado
2017-01-24,74.31,85.96,Sobrecomprado
2017-01-25,68.54,83.66,Sobrecomprado
2017-01-26,77.22,79.02,Sobrecomprado
2017-01-27,69.05,75.71,Sobrecomprado
2017-01-30,68.24,72.86,Sobrecomprado
2017-01-31,61.43,70.47,Sobrecomprado
2017-02-01,69.62,65.45,Neutro
2017-02-02,38.57,60.34,Neutro
2017-02-03,44.87,57.49,Neutro
2017-02-06,51.47,65.31,Neutro
2017-02-07,63.24,66.45,Neutro
2017-02-08,60.56,64.74,Neutro
2017-02-09,61.64,61.54,Neutro
2017-02-10,56.92,63.89,Neutro
2017-02-13,85.00,60.00,Neutro
2017-02-14,70.73,53.78,Neutro
2017-02-15,80.00,64.84,Neutro
2017-02-16,81.54,72.18,Sobrecomprado
2017-02-17,95.59,77.70,Sobrecomprado
2017-02-21,96.34,80.00,Sobrecomprado
2017-02-22,81.52,71.34,Sobrecomprado
2017-02-23,37.89,50.68,Neutro
2017-02-24,37.65,44.33,Neutro
2017-02-27,40.59,50.87,Neutro
2017-02-28,33.94,47.39,Neutro
2017-03-01,42.33,56.42,Neutro
2017-03-02,32.98,52.01,Neutro
2017-03-03,39.68,53.38,Neutro
2017-03-06,68.81,50.37,Neutro
2017-03-07,65.79,49.28,Neutro
2017-03-08,60.20,47.76,Neutro
2017-03-09,69.61,47.57,Neutro
2017-03-10,40.70,41.82,Neutro
2017-03-13,54.93,38.93,Neutro
2017-03-14,41.54,40.16,Neutro
2017-03-15,43.55,59.65,Neutro
2017-03-16,63.38,64.86,Neutro
2017-03-17,44.16,53.14,Neutro
2017-03-20,48.81,60.22,Neutro
2017-03-21,50.00,45.24,Neutro
2017-03-22,43.53,48.72,Neutro
2017-03-23,56.25,50.31,Neutro
2017-03-24,62.16,55.49,Neutro
2017-03-27,58.82,60.69,Neutro
2017-03-28,58.82,52.51,Neutro
2017-03-29,60.38,55.26,Neutro
2017-03-30,56.64,53.85,Neutro
2017-03-31,62.16,54.08,Neutro
2017-04-03,56.25,56.25,Neutro
2017-04-04,41.05,52.43,Neutro
2017-04-05,34.09,47.37,Neutro
2017-04-06,46.75,53.63,Neutro
2017-04-07,26.79,48.77,Neutro
2017-04-10,54.29,56.08,Neutro
2017-04-11,30.43,52.87,Neutro
2017-04-12,23.08,44.59,Neutro
2017-04-13,30.77,38.06,Neutro
2017-04-17,60.94,45.39,Neutro
2017-04-18,68.75,57.96,Neutro
2017-04-19,76.64,59.51,Neutro
2017-04-20,81.62,76.02,Sobrecomprado
2017-04-21,90.24,73.96,Sobrecomprado
2017-04-24,96.99,76.22,Sobrecomprado
2017-04-25,90.85,77.90,Sobrecomprado
2017-04-26,91.22,82.08,Sobrecomprado
2017-04-27,95.65,89.97,Sobrecomprado
2017-04-28,95.83,90.93,Sobrecomprado
2017-05-01,95.59,91.18,Sobrecomprado
2017-05-02,96.83,94.98,Sobrecomprado
2017-05-03,96.79,96.85,Sobrecomprado
2017-05-04,100.00,97.22,Sobrecomprado
2017-05-05,100.00,97.30,Sobrecomprado
2017-05-08,94.15,95.11,Sobrecomprado
2017-05-09,92.54,94.84,Sobrecomprado
2017-05-10,91.67,94.46,Sobrecomprado
2017-05-11,90.10,95.19,Sobrecomprado
2017-05-12,80.85,93.10,Sobrecomprado
2017-05-15,83.02,95.82,Sobrecomprado
2017-05-16,71.87,95.48,Sobrecomprado
2017-05-17,45.10,75.82,Sobrecomprado
2017-05-18,47.17,72.50,Sobrecomprado
2017-05-19,55.20,73.06,Sobrecomprado
2017-05-22,66.47,75.37,Sobrecomprado
2017-05-23,60.66,67.51,Neutro
2017-05-24,57.14,67.15,Neutro
2017-05-25,60.66,63.56,Neutro
2017-05-26,79.29,64.88,Neutro
2017-05-30,78.52,64.73,Neutro
2017-05-31,78.68,67.43,Neutro
2017-06-01,69.79,67.68,Neutro
2017-06-02,93.06,69.80,Neutro
2017-06-05,78.33,62.72,Neutro
2017-06-06,42.11,55.21,Neutro
2017-06-07,54.12,69.78,Neutro
2017-06-08,65.79,72.69,Sobrecomprado
2017-06-09,26.90,48.05,Neutro
2017-06-12,20.43,34.97,Neutro
2017-06-13,25.00,40.51,Neutro
2017-06-14,34.21,42.33,Neutro
2017-06-15,36.11,37.50,Neutro
2017-06-16,44.10,46.38,Neutro
2017-06-19,45.79,51.34,Neutro
2017-06-20,71.57,49.24,Neutro
2017-06-21,77.90,45.74,Neutro
2017-06-22,79.38,49.09,Neutro
2017-06-23,81.74,55.67,Neutro
2017-06-26,77.16,55.79,Neutro
2017-06-27,66.84,53.22,Neutro
2017-06-28,63.84,52.53,Neutro
2017-06-29,47.37,58.59,Neutro
2017-06-30,60.08,67.69,Neutro
2017-07-03,55.09,66.59,Neutro
2017-07-05,49.74,66.75,Neutro
2017-07-06,56.14,68.24,Neutro
2017-07-07,69.23,68.08,Neutro
2017-07-10,69.95,67.18,Neutro
2017-07-11,95.38,68.08,Neutro
2017-07-12,81.94,68.59,Neutro
2017-07-13,79.38,65.43,Neutro
2017-07-14,66.90,57.01,Neutro
2017-07-17,66.43,60.83,Neutro
2017-07-18,59.32,65.64,Neutro
2017-07-19,66.90,68.72,Neutro
2017-07-20,58.70,79.10,Sobrecomprado
2017-07-21,63.78,73.76,Sobrecomprado
2017-07-24,70.71,75.33,Sobrecomprado
2017-07-25,82.91,75.33,Sobrecomprado
2017-07-26,83.97,75.59,Sobrecomprado
2017-07-27,53.47,55.63,Neutro
2017-07-28,34.25,50.52,Neutro
2017-07-31,42.38,50.17,Neutro
2017-08-01,43.84,53.11,Neutro
2017-08-02,31.94,51.06,Neutro
2017-08-03,22.22,55.99,Neutro
2017-08-04,22.95,57.19,Neutro
2017-08-07,71.59,58.97,Neutro
2017-08-08,76.77,51.43,Neutro
2017-08-09,77.45,56.52,Neutro
2017-08-10,66.95,54.17,Neutro
2017-08-11,78.90,52.17,Neutro
2017-08-14,83.92,55.02,Neutro
2017-08-15,71.86,51.21,Neutro
2017-08-16,67.59,69.10,Neutro
2017-08-17,54.49,63.14,Neutro
2017-08-18,43.04,56.54,Neutro
2017-08-21,46.90,55.89,Neutro
2017-08-22,58.60,66.10,Neutro
2017-08-23,47.62,65.52,Neutro
2017-08-24,58.68,66.32,Neutro
2017-08-25,50.88,60.23,Neutro
2017-08-28,52.25,53.56,Neutro
2017-08-29,66.99,52.49,Neutro
2017-08-30,76.52,60.00,Neutro
2017-08-31,69.66,62.18,Neutro
2017-09-01,67.86,54.98,Neutro
2017-09-05,42.75,50.40,Neutro
2017-09-06,42.42,46.34,Neutro
2017-09-07,53.78,53.04,Neutro
2017-09-08,41.73,53.04,Neutro
2017-09-11,38.33,57.02,Neutro
2017-09-12,28.16,47.40,Neutro
2017-09-13,14.97,32.67,Neutro
2017-09-14,19.84,31.52,Neutro
2017-09-15,37.75,39.93,Neutro
2017-09-18,31.61,41.24,Neutro
2017-09-19,50.57,46.86,Neutro
2017-09-20,51.40,46.15,Neutro
2017-09-21,45.08,39.19,Neutro
2017-09-22,70.99,39.60,Neutro
2017-09-25,66.43,44.36,Neutro
2017-09-26,26.18,30.73,Neutro
2017-09-27,28.57,29.82,Sobrevendido
2017-09-28,12.44,30.62,Neutro
2017-09-29,15.50,32.45,Neutro
2017-10-02,30.23,37.25,Neutro
2017-10-03,28.10,44.57,Neutro
2017-10-04,31.12,45.83,Neutro
2017-10-05,89.69,44.85,Neutro
2017-10-06,91.60,50.44,Neutro
2017-10-09,98.20,43.75,Neutro
2017-10-10,98.25,45.54,Neutro
2017-10-11,98.88,61.42,Neutro
2017-10-12,89.39,57.84,Neutro
2017-10-13,88.38,59.90,Neutro
2017-10-16,82.78,85.20,Sobrecomprado
2017-10-17,68.89,77.93,Sobrecomprado
2017-10-18,69.44,80.41,Sobrecomprado
2017-10-19,53.19,70.20,Sobrecomprado
2017-10-20,20.00,68.86,Neutro
2017-10-23,32.67,70.23,Sobrecomprado
2017-10-24,25.58,63.61,Neutro
2017-10-25,22.92,56.17,Neutro
2017-10-26,62.11,65.11,Neutro
2017-10-27,73.78,72.24,Sobrecomprado
2017-10-30,70.35,64.29,Neutro
2017-10-31,69.64,57.40,Neutro
2017-11-01,67.17,59.12,Neutro
2017-11-02,70.35,57.40,Neutro
2017-11-03,77.53,60.43,Neutro
2017-11-06,71.49,67.02,Neutro
2017-11-07,50.00,66.25,Neutro
2017-11-08,76.72,71.96,Sobrecomprado
2017-11-09,64.96,68.43,Neutro
2017-11-10,55.88,63.89,Neutro
2017-11-13,61.29,67.80,Neutro
2017-11-14,62.79,73.26,Sobrecomprado
2017-11-15,37.74,61.41,Neutro
2017-11-16,62.58,56.51,Neutro
2017-11-17,62.35,68.35,Neutro
2017-11-20,71.86,69.01,Neutro
2017-11-21,86.45,72.16,Sobrecomprado
2017-11-22,88.75,76.76,Sobrecomprado
2017-11-24,87.76,76.09,Sobrecomprado
2017-11-27,94.85,69.83,Neutro
2017-11-28,70.53,65.50,Neutro
2017-11-29,39.86,52.00,Neutro
2017-11-30,44.67,58.99,Neutro
2017-12-01,31.93,58.26,Neutro
2017-12-04,20.45,49.21,Neutro
2017-12-05,13.03,41.56,Neutro
2017-12-06,15.61,44.50,Neutro
2017-12-07,16.09,32.00,Neutro
2017-12-08,23.33,30.50,Neutro
2017-12-11,6.59,24.61,Sobrevendido
2017-12-12,6.71,19.39,Sobrevendido
2017-12-13,33.09,25.28,Sobrevendido
2017-12-14,32.61,20.21,Sobrevendido
2017-12-15,54.19,33.41,Neutro
2017-12-18,62.91,38.60,Neutro
2017-12-19,64.73,46.29,Neutro
2017-12-20,64.16,39.69,Neutro
2017-12-21,75.00,45.53,Neutro
2017-12-22,72.16,56.06,Neutro
2017-12-26,66.99,53.31,Neutro
2017-12-27,47.26,51.29,Neutro
2017-12-28,43.80,55.43,Neutro
2017-12-29,42.54,56.42,Neutro
2018-01-02,49.57,59.24,Neutro
2018-01-03,71.71,73.40,Sobrecomprado
2018-01-04,72.25,72.21,Sobrecomprado
2018-01-05,95.08,80.10,Sobrecomprado
2018-01-08,99.50,77.52,Sobrecomprado
2018-01-09,99.48,76.36,Sobrecomprado
2018-01-10,97.81,74.45,Sobrecomprado
2018-01-11,98.58,81.29,Sobrecomprado
2018-01-12,98.01,82.87,Sobrecomprado
2018-01-16,80.49,75.87,Sobrecomprado
2018-01-17,81.18,88.39,Sobrecomprado
2018-01-18,88.89,93.25,Sobrecomprado
2018-01-19,90.27,93.68,Sobrecomprado
2018-01-22,91.29,93.60,Sobrecomprado
2018-01-23,92.51,94.65,Sobrecomprado
2018-01-24,92.08,93.81,Sobrecomprado
2018-01-25,91.08,87.83,Sobrecomprado
2018-01-26,90.93,87.83,Sobrecomprado
2018-01-29,80.95,85.36,Sobrecomprado
2018-01-30,63.76,79.71,Sobrecomprado
2018-01-31,59.46,78.56,Sobrecomprado
2018-02-01,49.44,78.94,Sobrecomprado
2018-02-02,28.44,68.32,Neutro
2018-02-05,26.27,65.84,Neutro
2018-02-06,15.98,60.86,Neutro
2018-02-07,24.22,51.13,Neutro
2018-02-08,20.33,38.43,Neutro
2018-02-09,20.33,36.81,Neutro
2018-02-12,25.69,34.06,Neutro
2018-02-13,49.43,41.37,Neutro
2018-02-14,61.23,46.52,Neutro
2018-02-15,70.13,46.62,Neutro
2018-02-16,69.94,49.48,Neutro
2018-02-20,95.58,54.15,Neutro
2018-02-21,100.00,55.49,Neutro
2018-02-22,97.30,51.56,Neutro
2018-02-23,96.12,62.00,Neutro
2018-02-26,83.05,67.04,Neutro
2018-02-27,39.36,58.70,Neutro
2018-02-28,28.49,54.58,Neutro
2018-03-01,31.09,67.42,Neutro
2018-03-02,41.67,71.64,Sobrecomprado
2018-03-05,58.84,73.19,Sobrecomprado
2018-03-06,53.96,67.32,Neutro
2018-03-07,54.95,63.43,Neutro
2018-03-08,84.15,61.46,Neutro
2018-03-09,95.26,63.98,Neutro
2018-03-12,86.34,59.55,Neutro
2018-03-13,86.27,62.73,Neutro
2018-03-14,78.29,64.55,Neutro
2018-03-15,73.72,60.48,Neutro
2018-03-16,84.62,66.29,Neutro
2018-03-19,75.96,80.05,Sobrecomprado
2018-03-20,81.20,87.87,Sobrecomprado
2018-03-21,80.17,83.03,Sobrecomprado
2018-03-22,42.74,58.54,Neutro
2018-03-23,46.05,54.22,Neutro
2018-03-26,53.76,58.61,Neutro
2018-03-27,41.37,53.14,Neutro
2018-03-28,39.45,49.62,Neutro
2018-03-29,35.21,51.11,Neutro
2018-04-02,29.00,44.65,Neutro
2018-04-03,44.28,43.55,Neutro
2018-04-04,47.17,46.64,Neutro
2018-04-05,35.87,45.02,Neutro
2018-04-06,38.52,40.07,Neutro
2018-04-09,51.14,44.76,Neutro
2018-04-10,46.54,40.30,Neutro
2018-04-11,66.14,40.91,Neutro
2018-04-12,72.78,56.82,Neutro
2018-04-13,58.64,51.88,Neutro
2018-04-16,70.89,50.50,Neutro
2018-04-17,86.96,61.60,Neutro
2018-04-18,84.90,65.66,Neutro
2018-04-19,82.71,61.88,Neutro
2018-04-20,83.33,74.90,Sobrecomprado
2018-04-23,52.31,63.54,Neutro
2018-04-24,77.14,69.12,Neutro
2018-04-25,52.71,59.42,Neutro
2018-04-26,42.44,62.78,Neutro
2018-04-27,39.66,58.54,Neutro
2018-04-30,37.59,54.61,Neutro
2018-05-01,41.32,56.75,Neutro
2018-05-02,49.21,50.47,Neutro
2018-05-03,28.41,57.01,Neutro
2018-05-04,72.78,57.78,Neutro
2018-05-07,81.30,57.01,Neutro
2018-05-08,86.86,56.75,Neutro
2018-05-09,97.20,59.22,Neutro
2018-05-10,97.30,61.62,Neutro
2018-05-11,94.74,67.90,Neutro
2018-05-14,89.78,56.25,Neutro
2018-05-15,73.93,73.42,Sobrecomprado
2018-05-16,37.69,61.80,Neutro
2018-05-17,28.46,57.05,Neutro
2018-05-18,33.33,64.40,Neutro
2018-05-21,33.33,65.01,Neutro
2018-05-22,27.33,57.82,Neutro
2018-05-23,34.97,56.57,Neutro
2018-05-24,41.16,53.99,Neutro
2018-05-25,49.45,44.49,Neutro
2018-05-29,54.00,41.33,Neutro
2018-05-30,48.66,40.37,Neutro
2018-05-31,41.03,36.60,Neutro
2018-06-01,73.94,43.12,Neutro
2018-06-04,77.13,49.81,Neutro
2018-06-05,81.14,57.55,Neutro
2018-06-06,88.97,68.84,Neutro
2018-06-07,92.13,73.21,Sobrecomprado
2018-06-08,92.00,71.52,Sobrecomprado
2018-06-11,92.88,71.64,Sobrecomprado
2018-06-12,93.24,86.33,Sobrecomprado
2018-06-13,76.66,76.84,Sobrecomprado
2018-06-14,74.91,77.78,Sobrecomprado
2018-06-15,74.33,81.68,Sobrecomprado
2018-06-18,82.59,87.21,Sobrecomprado
2018-06-19,73.78,82.59,Sobrecomprado
2018-06-20,72.97,83.33,Sobrecomprado
2018-06-21,59.19,78.61,Sobrecomprado
2018-06-22,64.08,71.40,Sobrecomprado
2018-06-25,32.89,52.74,Neutro
2018-06-26,40.48,55.28,Neutro
2018-06-27,42.53,60.03,Neutro
2018-06-28,50.97,60.67,Neutro
2018-06-29,43.65,55.88,Neutro
2018-07-02,50.81,53.95,Neutro
2018-07-03,45.65,51.77,Neutro
2018-07-05,70.71,52.99,Neutro
2018-07-06,71.39,56.16,Neutro
2018-07-09,73.24,58.36,Neutro
2018-07-10,54.91,53.11,Neutro
2018-07-11,59.51,52.07,Neutro
2018-07-12,62.01,56.86,Neutro
2018-07-13,70.94,57.79,Neutro
2018-07-16,69.59,70.13,Sobrecomprado
2018-07-17,56.70,64.68,Neutro
2018-07-18,41.32,60.62,Neutro
2018-07-19,61.73,56.78,Neutro
2018-07-20,63.53,60.69,Neutro
2018-07-23,63.53,62.44,Neutro
2018-07-24,49.09,62.96,Neutro
2018-07-25,65.33,67.59,Neutro
2018-07-26,57.81,57.32,Neutro
2018-07-27,46.78,44.88,Neutro
2018-07-30,41.45,46.35,Neutro
2018-07-31,40.87,46.59,Neutro
2018-08-01,37.13,44.10,Neutro
2018-08-02,52.47,51.42,Neutro
2018-08-03,30.91,46.61,Neutro
2018-08-06,35.42,47.08,Neutro
2018-08-07,46.48,46.68,Neutro
2018-08-08,67.50,48.80,Neutro
2018-08-09,67.50,48.44,Neutro
2018-08-10,71.74,48.44,Neutro
2018-08-13,56.95,53.53,Neutro
2018-08-14,78.57,43.62,Neutro
2018-08-15,71.43,46.73,Neutro
2018-08-16,84.40,59.95,Neutro
2018-08-17,83.33,73.80,Sobrecomprado
2018-08-20,84.17,74.34,Sobrecomprado
2018-08-21,56.19,66.87,Neutro
2018-08-22,59.65,58.11,Neutro
2018-08-23,63.78,71.54,Sobrecomprado
2018-08-24,77.14,73.75,Sobrecomprado
