Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2023-07-17,0.00,0.00,0.00,Neutro
2023-07-18,0.00,0.00,0.00,Neutro
2023-07-19,0.00,0.00,0.00,Neutro
2023-07-20,0.01,0.00,0.01,Compra
2023-07-21,0.01,0.00,0.01,Compra
2023-07-24,0.01,0.00,0.01,Compra
2023-07-25,0.01,0.01,0.00,Neutro
2023-07-26,0.01,0.01,0.00,Neutro
2023-07-27,0.01,0.01,0.00,Neutro
2023-07-28,0.01,0.01,0.00,Neutro
2023-07-31,0.01,0.01,0.00,Neutro
2023-08-01,0.01,0.01,0.00,Neutro
2023-08-02,0.01,0.01,0.00,Neutro
2023-08-03,0.01,0.01,0.00,Neutro
2023-08-04,0.01,0.01,0.00,Neutro
2023-08-07,0.01,0.01,0.00,Neutro
2023-08-08,0.01,0.01,0.00,Neutro
2023-08-09,0.01,0.01,0.00,Neutro
2023-08-10,0.01,0.01,0.00,Neutro
2023-08-11,0.01,0.01,0.00,Neutro
2023-08-14,0.01,0.01,0.00,Neutro
2023-08-15,0.01,0.01,0.00,Neutro
2023-08-16,0.01,0.01,0.00,Neutro
2023-08-17,0.01,0.01,0.00,Neutro
2023-08-18,0.01,0.01,0.00,Neutro
2023-08-21,0.01,0.01,0.00,Neutro
2023-08-22,0.01,0.01,0.00,Neutro
2023-08-23,0.01,0.01,0.00,Neutro
2023-08-24,0.01,0.01,0.00,Neutro
2023-08-25,0.01,0.01,0.00,Neutro
2023-08-28,0.01,0.01,0.00,Neutro
2023-08-29,0.01,0.01,0.00,Neutro
2023-08-30,0.01,0.01,0.00,Neutro
2023-08-31,0.01,0.01,0.00,Neutro
2023-09-01,0.01,0.01,0.00,Neutro
2023-09-05,0.02,0.01,0.01,Compra
2023-09-06,0.02,0.01,0.01,Compra
2023-09-07,0.02,0.01,0.01,Compra
2023-09-08,0.02,0.02,0.00,Neutro
2023-09-11,0.01,0.01,0.00,Neutro
2023-09-12,0.01,0.01,0.00,Neutro
2023-09-13,0.01,0.01,0.00,Neutro
2023-09-14,0.01,0.01,0.00,Neutro
2023-09-15,0.02,0.01,0.01,Compra
2023-09-18,0.02,0.02,0.00,Neutro
2023-09-19,0.02,0.02,0.00,Neutro
2023-09-20,0.02,0.02,0.00,Neutro
2023-09-21,0.02,0.02,0.00,Neutro
2023-09-22,0.02,0.02,0.00,Neutro
2023-09-25,0.02,0.02,0.00,Neutro
2023-09-26,0.02,0.02,0.00,Neutro
2023-09-27,0.02,0.02,0.00,Neutro
2023-09-28,0.02,0.02,0.00,Neutro
2023-09-29,0.02,0.02,0.00,Neutro
2023-10-02,0.02,0.02,0.00,Neutro
2023-10-03,0.02,0.02,0.00,Neutro
2023-10-04,0.02,0.02,0.00,Neutro
2023-10-05,0.02,0.02,0.00,Neutro
2023-10-06,0.02,0.02,0.00,Neutro
2023-10-09,0.02,0.02,0.00,Neutro
2023-10-10,0.01,0.02,-0.01,Venda
2023-10-11,0.01,0.02,-0.01,Venda
2023-10-12,0.01,0.02,-0.01,Venda
2023-10-13,0.01,0.01,0.00,Neutro
2023-10-16,0.01,0.01,0.00,Neutro
2023-10-17,0.01,0.01,0.00,Neutro
2023-10-18,0.01,0.01,0.00,Neutro
2023-10-19,0.01,0.01,0.00,Neutro
2023-10-20,0.01,0.01,0.00,Neutro
2023-10-23,0.01,0.01,0.00,Neutro
2023-10-24,0.01,0.01,0.00,Neutro
2023-10-25,0.01,0.01,0.00,Neutro
2023-10-26,0.01,0.01,0.00,Neutro
2023-10-27,0.01,0.01,0.00,Neutro
2023-10-30,0.01,0.01,0.00,Neutro
2023-10-31,0.01,0.01,0.00,Neutro
2023-11-01,0.01,0.01,0.00,Neutro
2023-11-02,0.01,0.01,0.00,Neutro
2023-11-03,0.01,0.01,0.00,Neutro
2023-11-06,0.01,0.01,0.00,Neutro
2023-11-07,0.01,0.01,0.00,Neutro
2023-11-08,0.01,0.01,0.00,Neutro
2023-11-09,0.01,0.01,0.00,Neutro
2023-11-10,0.01,0.01,0.00,Neutro
2023-11-13,0.01,0.01,0.00,Neutro
2023-11-14,0.01,0.01,0.00,Neutro
2023-11-15,0.01,0.01,0.00,Neutro
2023-11-16,0.01,0.01,0.00,Neutro
2023-11-17,0.01,0.01,0.00,Neutro
2023-11-20,0.01,0.01,0.00,Neutro
2023-11-21,0.01,0.01,0.00,Neutro
2023-11-22,0.01,0.01,0.00,Neutro
2023-11-24,0.01,0.01,0.00,Neutro
2023-11-27,0.01,0.01,0.00,Neutro
2023-11-28,0.01,0.01,0.00,Neutro
2023-11-29,0.01,0.01,0.00,Neutro
2023-11-30,0.01,0.01,0.00,Neutro
2023-12-01,0.02,0.01,0.01,Compra
2023-12-04,0.02,0.01,0.01,Compra
2023-12-05,0.02,0.01,0.01,Compra
2023-12-06,0.02,0.02,0.00,Neutro
2023-12-07,0.02,0.02,0.00,Neutro
2023-12-08,0.02,0.02,0.00,Neutro
2023-12-11,0.02,0.02,0.00,Neutro
2023-12-12,0.02,0.02,0.00,Neutro
2023-12-13,0.02,0.02,0.00,Neutro
2023-12-14,0.02,0.02,0.00,Neutro
2023-12-15,0.02,0.02,0.00,Neutro
2023-12-18,0.02,0.02,0.00,Neutro
2023-12-19,0.02,0.02,0.00,Neutro
2023-12-20,0.02,0.02,0.00,Neutro
2023-12-21,0.02,0.02,0.00,Neutro
2023-12-22,0.02,0.02,0.00,Neutro
2023-12-26,0.02,0.02,0.00,Neutro
2023-12-27,0.01,0.02,-0.01,Venda
2023-12-28,0.01,0.02,-0.01,Venda
2023-12-29,0.01,0.02,-0.01,Venda
2024-01-02,0.02,0.02,0.00,Neutro
2024-01-03,0.02,0.02,0.00,Neutro
2024-01-04,0.02,0.02,0.00,Neutro
2024-01-05,0.02,0.02,0.00,Neutro
2024-01-08,0.03,0.02,0.01,Compra
2024-01-09,0.03,0.02,0.01,Compra
2024-01-10,0.03,0.02,0.01,Compra
2024-01-11,0.03,0.03,0.00,Neutro
2024-01-12,0.03,0.03,0.00,Neutro
2024-01-16,0.02,0.02,0.00,Neutro
2024-01-17,0.02,0.02,0.00,Neutro
2024-01-18,0.02,0.02,0.00,Neutro
2024-01-19,0.02,0.02,0.00,Neutro
2024-01-22,0.02,0.02,0.00,Neutro
2024-01-23,0.02,0.02,0.00,Neutro
2024-01-24,0.02,0.02,0.00,Neutro
2024-01-25,0.01,0.02,-0.01,Venda
2024-01-26,0.01,0.02,-0.01,Venda
2024-01-29,0.01,0.02,-0.01,Venda
2024-01-30,0.01,0.01,0.00,Neutro
2024-01-31,0.01,0.01,0.00,Neutro
2024-02-01,0.01,0.01,0.00,Neutro
2024-02-02,0.01,0.01,0.00,Neutro
2024-02-05,0.02,0.01,0.01,Compra
2024-02-06,0.02,0.02,0.00,Neutro
2024-02-07,0.02,0.02,0.00,Neutro
2024-02-08,0.02,0.02,0.00,Neutro
2024-02-09,0.02,0.02,0.00,Neutro
2024-02-12,0.02,0.02,0.00,Neutro
2024-02-13,0.02,0.02,0.00,Neutro
2024-02-14,0.02,0.02,0.00,Neutro
2024-02-15,0.02,0.02,0.00,Neutro
2024-02-16,0.02,0.02,0.00,Neutro
2024-02-20,0.02,0.02,0.00,Neutro
2024-02-21,0.02,0.02,0.00,Neutro
2024-02-22,0.02,0.02,0.00,Neutro
2024-02-23,0.02,0.02,0.00,Neutro
2024-02-26,0.02,0.02,0.00,Neutro
2024-02-27,0.02,0.02,0.00,Neutro
2024-02-28,0.02,0.02,0.00,Neutro
2024-02-29,0.02,0.02,0.00,Neutro
2024-03-01,0.02,0.02,0.00,Neutro
2024-03-04,0.02,0.02,0.00,Neutro
2024-03-05,0.02,0.02,0.00,Neutro
2024-03-06,0.02,0.02,0.00,Neutro
2024-03-07,0.01,0.02,-0.01,Venda
2024-03-08,0.01,0.02,-0.01,Venda
2024-03-11,0.01,0.02,-0.01,Venda
2024-03-12,0.01,0.01,0.00,Neutro
2024-03-13,0.01,0.01,0.00,Neutro
2024-03-14,0.01,0.01,0.00,Neutro
2024-03-15,0.01,0.01,0.00,Neutro
2024-03-18,0.01,0.01,0.00,Neutro
2024-03-19,0.01,0.01,0.00,Neutro
2024-03-20,0.01,0.01,0.00,Neutro
2024-03-21,0.01,0.01,0.00,Neutro
2024-03-22,0.01,0.01,0.00,Neutro
2024-03-25,0.01,0.01,0.00,Neutro
2024-03-26,0.01,0.01,0.00,Neutro
2024-03-27,0.01,0.01,0.00,Neutro
2024-03-28,0.01,0.01,0.00,Neutro
2024-04-01,0.01,0.01,0.00,Neutro
2024-04-02,0.01,0.01,0.00,Neutro
2024-04-03,0.01,0.01,0.00,Neutro
2024-04-04,0.01,0.01,0.00,Neutro
2024-04-05,0.01,0.01,0.00,Neutro
2024-04-08,0.01,0.01,0.00,Neutro
2024-04-09,0.01,0.01,0.00,Neutro
2024-04-10,0.01,0.01,0.00,Neutro
2024-04-11,0.01,0.01,0.00,Neutro
2024-04-12,0.02,0.01,0.01,Compra
2024-04-15,0.02,0.01,0.01,Compra
2024-04-16,0.02,0.01,0.01,Compra
2024-04-17,0.02,0.02,0.00,Neutro
2024-04-18,0.02,0.02,0.00,Neutro
2024-04-19,0.02,0.02,0.00,Neutro
2024-04-22,0.02,0.02,0.00,Neutro
2024-04-23,0.02,0.02,0.00,Neutro
2024-04-24,0.02,0.02,0.00,Neutro
2024-04-25,0.02,0.02,0.00,Neutro
2024-04-26,0.02,0.02,0.00,Neutro
2024-04-29,0.02,0.02,0.00,Neutro
2024-04-30,0.02,0.02,0.00,Neutro
2024-05-01,0.02,0.02,0.00,Neutro
2024-05-02,0.02,0.02,0.00,Neutro
2024-05-03,0.02,0.02,0.00,Neutro
2024-05-06,0.01,0.02,-0.01,Venda
2024-05-07,0.01,0.02,-0.01,Venda
2024-05-08,0.01,0.01,0.00,Neutro
2024-05-09,0.01,0.01,0.00,Neutro
2024-05-10,0.01,0.01,0.00,Neutro
2024-05-13,0.01,0.01,0.00,Neutro
2024-05-14,0.01,0.01,0.00,Neutro
2024-05-15,0.01,0.01,0.00,Neutro
2024-05-16,0.01,0.01,0.00,Neutro
2024-05-17,0.01,0.01,0.00,Neutro
2024-05-20,0.01,0.01,0.00,Neutro
2024-05-21,0.01,0.01,0.00,Neutro
2024-05-22,0.01,0.01,0.00,Neutro
2024-05-23,0.01,0.01,0.00,Neutro
2024-05-24,0.01,0.01,0.00,Neutro
