Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-08,9.68,9.68,9.66,9.66,198300,0.00,0.00
2018-08-09,9.66,9.67,9.66,9.67,72900,0.00,0.00
2018-08-10,9.66,9.68,9.66,9.68,85100,0.00,0.00
2018-08-13,9.68,9.69,9.65,9.66,268400,0.00,0.00
2018-08-14,9.67,9.68,9.66,9.66,56400,0.00,0.00
2018-08-15,9.66,9.66,9.66,9.66,0,0.00,0.00
2018-08-16,9.66,9.66,9.66,9.66,0,0.00,0.00
2018-08-17,9.66,9.66,9.66,9.66,0,0.00,0.00
2018-08-20,9.65,9.65,9.65,9.65,1000,0.00,0.00
2018-08-21,9.65,9.65,9.65,9.65,0,0.00,0.00
2018-08-22,9.65,9.65,9.65,9.65,0,0.00,0.00
2018-08-23,9.65,9.65,9.65,9.65,0,0.00,0.00
2018-08-24,9.66,9.66,9.65,9.65,30500,0.00,0.00
2018-08-27,9.65,9.66,9.65,9.65,16300,0.00,0.00
2018-08-28,9.65,9.69,9.63,9.65,14900,0.00,0.00
2018-08-29,9.65,9.65,9.65,9.65,0,0.00,0.00
2018-08-30,9.69,9.70,9.69,9.70,10000,0.00,0.00
2018-08-31,9.70,9.70,9.65,9.65,1000,0.00,0.00
2018-09-04,9.65,9.65,9.65,9.65,169900,0.00,0.00
2018-09-05,9.65,9.65,9.65,9.65,0,0.00,0.00
2018-09-06,9.70,9.70,9.70,9.70,200,0.00,0.00
2018-09-07,9.70,9.70,9.70,9.70,1200,0.00,0.00
2018-09-10,9.70,9.70,9.70,9.70,9000,0.00,0.00
2018-09-11,9.70,9.70,9.70,9.70,0,0.00,0.00
2018-09-12,9.70,9.70,9.70,9.70,0,0.00,0.00
2018-09-13,9.67,9.68,9.67,9.68,141200,0.00,0.00
2018-09-14,9.68,9.68,9.67,9.67,7100,0.00,0.00
2018-09-17,9.67,9.67,9.67,9.67,21200,0.00,0.00
2018-09-18,9.67,9.67,9.67,9.67,150000,0.00,0.00
2018-09-19,9.67,9.67,9.67,9.67,0,0.00,0.00
2018-09-20,9.67,9.67,9.67,9.67,100000,0.00,0.00
2018-09-21,9.67,9.69,9.67,9.69,105700,0.00,0.00
2018-09-24,9.67,9.67,9.67,9.67,112100,0.00,0.00
2018-09-25,9.67,9.67,9.66,9.67,14300,0.00,0.00
2018-09-26,9.67,9.67,9.67,9.67,0,0.00,0.00
2018-09-27,9.67,9.67,9.67,9.67,41300,0.00,0.00
2018-09-28,9.67,9.85,9.66,9.67,160000,0.00,0.00
2018-10-01,9.70,9.70,9.70,9.70,5200,0.00,0.00
2018-10-02,9.70,9.70,9.70,9.70,0,0.00,0.00
2018-10-03,9.70,9.70,9.70,9.70,0,0.00,0.00
2018-10-04,9.72,9.72,9.72,9.72,6200,0.00,0.00
2018-10-05,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-08,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-09,9.67,9.68,9.67,9.67,17000,0.00,0.00
2018-10-10,9.72,9.72,9.72,9.72,5300,0.00,0.00
2018-10-11,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-12,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-15,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-16,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-17,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-18,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-19,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-22,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-23,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-24,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-25,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-26,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-29,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-30,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-10-31,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-01,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-02,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-05,9.72,9.72,9.72,9.72,100,0.00,0.00
2018-11-06,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-07,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-08,9.72,9.72,9.72,9.72,0,0.00,0.00
2018-11-09,9.70,9.70,9.70,9.70,39700,0.00,0.00
2018-11-12,9.72,9.72,9.70,9.71,10100,0.00,0.00
2018-11-13,9.71,9.71,9.71,9.71,5900,0.00,0.00
2018-11-14,9.71,9.73,9.71,9.73,45900,0.00,0.00
2018-11-15,9.75,9.76,9.74,9.75,151100,0.00,0.00
2018-11-16,9.75,9.75,9.75,9.75,100,0.00,0.00
2018-11-19,9.75,9.75,9.75,9.75,100,0.00,0.00
2018-11-20,9.80,9.82,9.80,9.80,6700,0.00,0.00
2018-11-21,9.80,9.80,9.80,9.80,100,0.00,0.00
2018-11-23,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-11-26,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-11-27,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-11-28,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-11-29,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-11-30,9.80,9.80,9.80,9.80,0,0.00,0.00
2018-12-03,9.65,9.65,9.65,9.65,100,0.00,0.00
