Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-12,63.50,67.00,56.00,58.00,19449200,0.00,0.00
2019-06-13,63.86,69.67,61.60,67.56,10923900,0.00,0.00
2019-06-14,69.78,70.79,63.02,64.16,6264200,0.00,0.00
2019-06-17,64.75,70.01,62.00,70.01,3247500,0.00,0.00
2019-06-18,73.00,78.70,71.50,76.50,6612600,0.00,0.00
2019-06-19,78.75,79.79,73.56,77.22,3319100,0.00,0.00
2019-06-20,78.00,78.22,70.69,74.85,3429600,0.00,0.00
2019-06-21,72.46,73.93,68.30,72.23,2657500,0.00,0.00
2019-06-24,71.05,72.39,65.08,67.97,2448000,0.00,0.00
2019-06-25,67.10,68.99,61.17,61.52,2480200,0.00,0.00
2019-06-26,63.30,64.92,62.01,62.65,1625500,0.00,0.00
2019-06-27,63.39,65.00,62.57,63.28,914500,0.00,0.00
2019-06-28,64.36,68.38,63.30,68.29,1474300,0.00,0.00
2019-07-01,69.10,69.73,61.81,63.20,2670900,0.00,0.00
2019-07-02,63.30,65.03,61.72,64.52,1735600,0.00,0.00
2019-07-03,64.68,67.48,64.52,67.24,1564100,0.00,0.00
2019-07-05,67.15,67.25,64.84,67.21,804900,0.00,0.00
2019-07-08,68.26,71.71,66.90,66.91,4567200,0.00,0.00
2019-07-09,67.42,69.20,66.88,68.45,1782700,0.00,0.00
2019-07-10,70.00,74.50,69.50,74.34,2719300,0.00,0.00
2019-07-11,74.50,74.98,70.50,70.88,2351800,0.00,0.00
2019-07-12,71.60,75.20,70.50,73.50,1838300,0.00,0.00
2019-07-15,74.00,74.29,71.40,71.60,1325100,0.00,0.00
2019-07-16,71.93,73.09,69.00,69.54,1582300,0.00,0.00
2019-07-17,70.00,71.56,69.59,71.00,1037000,0.00,0.00
2019-07-18,71.00,74.19,70.15,72.75,2779900,0.00,0.00
2019-07-19,85.16,85.85,80.75,83.52,13669000,0.00,0.00
2019-07-22,82.27,88.50,82.08,87.68,5357700,0.00,0.00
2019-07-23,88.32,89.44,84.49,86.74,2529800,0.00,0.00
2019-07-24,86.79,87.85,85.50,87.46,1250700,0.00,0.00
2019-07-25,87.50,93.34,87.00,92.28,3270400,0.00,0.00
2019-07-26,93.04,95.50,91.91,92.88,2053000,0.00,0.00
2019-07-29,93.69,93.90,82.65,87.23,3317800,0.00,0.00
2019-07-30,86.00,96.19,84.00,94.00,3127200,0.00,0.00
2019-07-31,93.95,94.80,86.82,89.07,2476000,0.00,0.00
2019-08-01,90.07,94.32,89.44,91.53,2238200,0.00,0.00
2019-08-02,91.54,92.78,86.91,88.01,1801000,0.00,0.00
2019-08-05,83.34,86.92,82.25,85.48,2196400,0.00,0.00
2019-08-06,87.20,89.76,82.71,85.24,1357400,0.00,0.00
2019-08-07,83.69,86.45,82.80,84.22,990400,0.00,0.00
2019-08-08,85.49,91.86,85.49,91.65,1692300,0.00,0.00
2019-08-09,90.25,98.00,90.00,94.90,3062200,0.00,0.00
2019-08-12,94.25,98.20,91.53,93.01,1895600,0.00,0.00
2019-08-13,92.84,100.50,92.84,99.65,3024600,0.00,0.00
2019-08-14,96.52,97.73,91.60,94.02,2822900,0.00,0.00
2019-08-15,95.99,97.14,91.37,93.66,1513100,0.00,0.00
2019-08-16,95.00,98.10,93.40,96.05,1517800,0.00,0.00
2019-08-19,98.80,101.48,95.60,99.39,2782700,0.00,0.00
2019-08-20,99.23,101.88,97.26,99.16,1438800,0.00,0.00
2019-08-21,100.59,100.96,96.27,96.58,1783900,0.00,0.00
2019-08-22,96.29,96.58,92.80,92.97,1764000,0.00,0.00
2019-08-23,91.37,91.56,86.00,88.43,3041000,0.00,0.00
2019-08-26,90.24,90.84,86.13,88.88,1462400,0.00,0.00
2019-08-27,89.28,89.95,83.23,84.08,1821600,0.00,0.00
2019-08-28,84.00,87.52,82.61,86.99,1919300,0.00,0.00
2019-08-29,88.30,89.35,83.29,83.82,1787000,0.00,0.00
2019-08-30,84.02,84.94,78.89,81.28,1907300,0.00,0.00
2019-09-03,80.85,83.80,80.25,83.76,1827700,0.00,0.00
2019-09-04,85.00,87.77,82.89,85.31,2393100,0.00,0.00
2019-09-05,86.25,87.19,82.50,86.85,3918600,0.00,0.00
2019-09-06,79.70,81.50,75.31,75.98,8672300,0.00,0.00
2019-09-09,76.11,76.12,64.34,67.10,8598200,0.00,0.00
2019-09-10,65.70,71.80,65.70,71.65,4672500,0.00,0.00
2019-09-11,69.21,70.93,67.20,69.11,3114000,0.00,0.00
2019-09-12,69.68,72.40,69.06,69.66,2923500,0.00,0.00
2019-09-13,69.86,70.31,64.71,64.86,4166300,0.00,0.00
2019-09-16,63.71,68.86,63.50,67.86,2804500,0.00,0.00
2019-09-17,68.64,71.33,68.13,71.04,2810500,0.00,0.00
2019-09-18,70.12,71.88,68.80,70.85,1999200,0.00,0.00
2019-09-19,71.50,71.87,67.64,68.93,1684000,0.00,0.00
2019-09-20,68.95,69.46,66.19,66.97,3357500,0.00,0.00
2019-09-23,67.12,68.57,66.54,66.91,825900,0.00,0.00
2019-09-24,67.02,67.37,62.00,62.52,2605700,0.00,0.00
2019-09-25,62.00,63.39,60.11,62.02,2463400,0.00,0.00
2019-09-26,62.05,62.36,57.66,58.30,2885100,0.00,0.00
2019-09-27,58.27,58.33,52.84,53.46,4449400,0.00,0.00
2019-09-30,53.50,58.65,51.61,58.31,4020800,0.00,0.00
2019-10-01,58.30,59.51,55.65,57.89,2835200,0.00,0.00
2019-10-02,56.81,57.66,54.07,56.63,1561000,0.00,0.00
2019-10-03,59.48,62.40,56.75,62.14,5072300,0.00,0.00
2019-10-04,62.00,64.46,61.55,63.84,2153900,0.00,0.00
2019-10-07,63.36,69.70,62.72,68.78,3614300,0.00,0.00
2019-10-08,67.40,68.43,64.48,65.30,2760000,0.00,0.00
2019-10-09,66.35,66.43,62.50,63.08,2196600,0.00,0.00
2019-10-10,62.60,63.61,60.40,61.41,2288300,0.00,0.00
2019-10-11,58.77,61.48,57.27,60.27,3331600,0.00,0.00
2019-10-14,55.80,57.85,53.20,54.52,4445400,0.00,0.00
2019-10-15,55.01,56.41,54.03,55.21,1980300,0.00,0.00
2019-10-16,53.57,55.77,51.80,52.03,2589100,0.00,0.00
2019-10-17,51.76,53.15,50.33,50.44,2781000,0.00,0.00
2019-10-18,50.00,50.32,46.46,47.04,3669100,0.00,0.00
2019-10-21,46.93,48.97,46.22,47.40,2404200,0.00,0.00
2019-10-22,47.25,48.48,44.58,46.20,2695600,0.00,0.00
2019-10-23,47.00,50.43,46.03,47.87,3686100,0.00,0.00
2019-10-24,48.60,52.18,48.11,51.84,2046800,0.00,0.00
2019-10-25,50.88,52.07,49.41,50.11,1528300,0.00,0.00
2019-10-28,50.26,51.31,47.71,47.95,2758200,0.00,0.00
2019-10-29,47.43,48.37,46.21,47.80,1739200,0.00,0.00
2019-10-30,47.72,52.48,46.78,51.44,2217600,0.00,0.00
2019-10-31,51.20,51.64,48.10,49.91,1046000,0.00,0.00
2019-11-01,49.94,50.85,47.75,48.50,1438700,0.00,0.00
2019-11-04,49.15,50.48,48.01,49.65,1301300,0.00,0.00
2019-11-05,50.18,50.60,47.77,48.70,1457200,0.00,0.00
2019-11-06,48.56,48.71,46.90,47.83,1028600,0.00,0.00
2019-11-07,48.26,48.50,45.38,45.50,1665000,0.00,0.00
2019-11-08,45.02,47.21,44.80,47.21,1977300,0.00,0.00
2019-11-11,46.50,47.00,45.46,46.20,1286900,0.00,0.00
2019-11-12,47.50,47.85,46.11,47.05,1740800,0.00,0.00
2019-11-13,46.83,52.44,46.65,52.00,2860000,0.00,0.00
2019-11-14,51.31,54.92,50.64,52.73,2820900,0.00,0.00
2019-11-15,53.00,59.99,53.00,59.75,4004300,0.00,0.00
2019-11-18,60.00,60.00,55.52,57.07,2239400,0.00,0.00
2019-11-19,57.45,57.56,53.76,56.00,1591200,0.00,0.00
2019-11-20,55.24,58.31,53.39,54.88,2256900,0.00,0.00
2019-11-21,55.46,55.46,52.85,53.77,959400,0.00,0.00
2019-11-22,54.19,55.30,53.75,54.20,1028400,0.00,0.00
2019-11-25,55.32,56.17,54.85,55.84,1843100,0.00,0.00
2019-11-26,56.50,58.02,54.26,55.58,1996800,0.00,0.00
2019-11-27,56.37,56.67,55.23,56.29,986500,0.00,0.00
2019-11-29,56.96,59.50,56.32,58.00,1244400,0.00,0.00
2019-12-02,58.50,58.60,52.54,55.01,2925100,0.00,0.00
2019-12-03,53.29,57.59,53.01,57.37,1395900,0.00,0.00
2019-12-04,56.61,57.00,54.30,54.98,1607000,0.00,0.00
2019-12-05,55.00,55.21,51.61,52.95,3362400,0.00,0.00
2019-12-06,54.00,55.10,50.50,50.89,8029000,0.00,0.00
2019-12-09,49.14,50.96,48.41,49.00,13793500,0.00,0.00
2019-12-10,49.92,50.02,47.22,47.55,5751100,0.00,0.00
2019-12-11,47.01,48.80,46.33,47.73,9363500,0.00,0.00
2019-12-12,47.95,48.50,46.32,47.30,5709800,0.00,0.00
2019-12-13,47.50,49.86,46.70,49.41,6364200,0.00,0.00
2019-12-16,50.00,50.11,48.15,49.45,5034600,0.00,0.00
2019-12-17,49.34,49.44,47.52,48.39,4742300,0.00,0.00
2019-12-18,48.96,50.30,48.60,50.14,5653300,0.00,0.00
2019-12-19,50.45,50.45,49.20,49.47,3044800,0.00,0.00
2019-12-20,49.91,50.00,48.58,49.49,3119600,0.00,0.00
2019-12-23,49.25,49.30,47.61,47.85,4588000,0.00,0.00
2019-12-24,48.00,48.72,47.15,47.75,1508400,0.00,0.00
2019-12-26,48.41,50.06,48.09,50.03,4779200,0.00,0.00
2019-12-27,50.30,50.38,48.20,48.92,3510000,0.00,0.00
2019-12-30,50.00,50.56,48.39,50.03,5706100,0.00,0.00
2019-12-31,49.34,50.34,48.90,49.87,3288500,0.00,0.00
2020-01-02,50.03,50.75,49.25,49.44,4428300,0.00,0.00
2020-01-03,48.92,51.99,48.79,50.75,11165600,0.00,0.00
2020-01-06,51.85,56.17,51.03,55.11,21725400,0.00,0.00
2020-01-07,54.55,56.50,54.50,54.75,12503500,0.00,0.00
2020-01-08,54.20,55.86,53.30,55.66,7511600,0.00,0.00
2020-01-09,56.95,57.25,55.10,55.94,6517200,0.00,0.00
2020-01-10,56.49,58.30,56.00,57.20,8150700,0.00,0.00
2020-01-13,57.36,59.74,57.00,58.97,7038700,0.00,0.00
2020-01-14,59.23,60.66,57.50,59.24,7786500,0.00,0.00
2020-01-15,59.23,61.97,59.23,60.25,7973300,0.00,0.00
2020-01-16,61.50,62.75,61.00,62.24,6159500,0.00,0.00
2020-01-17,63.05,63.70,62.06,63.45,6255900,0.00,0.00
2020-01-21,63.02,63.39,61.26,62.24,6086700,0.00,0.00
2020-01-22,63.00,64.04,62.30,62.57,4257800,0.00,0.00
2020-01-23,62.57,62.66,60.71,61.55,4071700,0.00,0.00
2020-01-24,62.00,63.05,57.84,59.25,6580200,0.00,0.00
2020-01-27,56.58,58.16,55.31,58.06,4425900,0.00,0.00
2020-01-28,58.66,59.64,58.13,59.07,3074000,0.00,0.00
2020-01-29,60.00,61.78,59.74,60.26,3480400,0.00,0.00
2020-01-30,60.00,62.56,58.94,62.45,4162800,0.00,0.00
2020-01-31,62.50,63.00,60.25,61.09,4062200,0.00,0.00
2020-02-03,61.13,61.46,59.65,61.08,3705500,0.00,0.00
2020-02-04,61.92,64.33,61.15,63.56,4619000,0.00,0.00
2020-02-05,64.21,64.80,60.06,61.81,3998600,0.00,0.00
2020-02-06,61.60,62.98,60.18,62.19,2259400,0.00,0.00
2020-02-07,62.00,63.72,61.82,62.09,3055700,0.00,0.00
2020-02-10,62.33,63.86,61.45,63.30,3877500,0.00,0.00
2020-02-11,66.00,66.84,63.65,65.19,7978200,0.00,0.00
2020-02-12,65.19,65.50,62.72,65.08,5448300,0.00,0.00
2020-02-13,64.25,66.20,64.13,65.31,4124500,0.00,0.00
2020-02-14,65.81,65.83,63.87,64.85,4202500,0.00,0.00
2020-02-18,65.00,66.28,64.55,66.04,4324200,0.00,0.00
2020-02-19,66.63,67.56,65.61,66.03,5306900,0.00,0.00
2020-02-20,65.70,65.98,60.03,63.38,6179100,0.00,0.00
2020-02-21,62.58,62.64,59.26,60.93,4625000,0.00,0.00
2020-02-24,56.40,59.25,56.02,58.08,4638800,0.00,0.00
2020-02-25,59.50,59.79,56.06,57.74,5337900,0.00,0.00
2020-02-26,58.39,60.26,57.51,58.46,4425600,0.00,0.00
2020-02-27,56.15,59.45,54.35,57.50,4874100,0.00,0.00
2020-02-28,55.60,60.02,55.50,59.64,4448000,0.00,0.00
2020-03-02,60.20,60.97,58.00,59.13,4013700,0.00,0.00
2020-03-03,59.61,60.73,55.01,56.48,4071500,0.00,0.00
2020-03-04,57.18,58.08,56.06,57.20,2321000,0.00,0.00
2020-03-05,56.08,57.44,54.55,55.92,3212500,0.00,0.00
2020-03-06,54.24,54.87,50.36,51.96,5119900,0.00,0.00
2020-03-09,46.81,48.89,45.65,45.74,5816700,0.00,0.00
2020-03-10,48.47,48.47,45.00,46.91,4569900,0.00,0.00
2020-03-11,45.96,46.30,42.23,42.85,5386200,0.00,0.00
2020-03-12,38.60,40.20,35.98,37.82,6636500,0.00,0.00
2020-03-13,39.90,40.08,36.59,39.55,5015200,0.00,0.00
2020-03-16,36.00,36.00,32.12,33.01,6816300,0.00,0.00
2020-03-17,33.93,38.30,31.95,38.01,5664700,0.00,0.00
2020-03-18,35.76,41.47,35.50,38.63,6358500,0.00,0.00
2020-03-19,40.43,44.49,38.20,41.74,7442700,0.00,0.00
2020-03-20,49.96,51.97,46.81,49.01,14253600,0.00,0.00
2020-03-23,46.24,53.00,46.01,51.45,11127200,0.00,0.00
2020-03-24,54.92,58.65,54.28,57.33,8088000,0.00,0.00
2020-03-25,56.00,59.50,55.60,55.78,5517200,0.00,0.00
2020-03-26,55.84,59.10,55.04,58.64,5838700,0.00,0.00
2020-03-27,57.02,59.87,56.02,58.79,3826100,0.00,0.00
2020-03-30,58.81,59.83,56.27,57.72,4449500,0.00,0.00
2020-03-31,57.03,60.03,55.26,55.68,4921400,0.00,0.00
2020-04-01,54.00,56.55,53.53,54.58,3113900,0.00,0.00
2020-04-02,54.51,56.92,54.11,56.69,3058700,0.00,0.00
2020-04-03,55.85,59.25,55.85,57.82,4555800,0.00,0.00
2020-04-06,59.08,60.53,58.66,59.07,5008100,0.00,0.00
2020-04-07,59.45,61.30,57.75,59.60,7472800,0.00,0.00
2020-04-08,59.65,60.88,59.05,60.32,4337500,0.00,0.00
2020-04-09,60.48,60.79,57.50,58.15,3752900,0.00,0.00
2020-04-13,58.00,59.37,57.36,58.77,2867000,0.00,0.00
2020-04-14,59.99,62.00,58.50,60.89,6485700,0.00,0.00
2020-04-15,59.34,62.64,58.73,61.82,4196900,0.00,0.00
2020-04-16,62.00,64.45,61.54,63.45,5002100,0.00,0.00
2020-04-17,64.46,65.62,63.25,64.74,4139700,0.00,0.00
2020-04-20,64.87,70.20,64.39,68.43,6529900,0.00,0.00
2020-04-21,68.66,70.50,62.77,66.07,6950300,0.00,0.00
2020-04-22,67.67,69.31,67.23,68.07,3730900,0.00,0.00
2020-04-23,68.06,69.96,68.00,68.91,3065000,0.00,0.00
2020-04-24,69.00,74.65,68.89,72.00,9720800,0.00,0.00
2020-04-27,73.00,75.00,72.02,73.60,4360200,0.00,0.00
2020-04-28,74.00,74.71,68.39,70.13,4634100,0.00,0.00
2020-04-29,71.00,71.60,68.19,69.28,6111400,0.00,0.00
2020-04-30,69.28,69.28,67.12,67.66,2216800,0.00,0.00
2020-05-01,66.28,70.19,65.80,69.21,2997800,0.00,0.00
2020-05-04,68.35,73.67,67.81,73.43,3899600,0.00,0.00
2020-05-05,74.27,75.00,70.88,71.59,3743200,0.00,0.00
2020-05-06,71.94,73.62,69.32,72.44,4492900,0.00,0.00
2020-05-07,74.00,76.75,73.66,75.49,5656900,0.00,0.00
2020-05-08,76.55,77.96,75.00,76.70,3462900,0.00,0.00
2020-05-11,77.05,78.35,76.15,76.23,2418200,0.00,0.00
2020-05-12,77.00,80.63,75.31,76.15,4514400,0.00,0.00
2020-05-13,77.86,79.30,73.12,76.57,4333100,0.00,0.00
2020-05-14,76.00,77.40,74.53,77.14,3322200,0.00,0.00
2020-05-15,77.50,80.29,76.33,77.14,3292900,0.00,0.00
2020-05-18,78.11,78.99,75.78,76.10,2868200,0.00,0.00
2020-05-19,76.53,79.58,76.50,78.55,2675400,0.00,0.00
2020-05-20,80.72,81.74,79.15,80.97,3564100,0.00,0.00
2020-05-21,81.62,81.87,78.82,80.60,2072300,0.00,0.00
2020-05-22,81.00,82.70,80.00,82.22,2823000,0.00,0.00
2020-05-26,83.39,83.40,77.95,79.35,4122400,0.00,0.00
2020-05-27,79.00,79.00,71.51,77.99,7021300,0.00,0.00
2020-05-28,78.20,82.28,78.00,79.50,3805900,0.00,0.00
2020-05-29,83.19,88.00,81.20,87.81,13425700,0.00,0.00
2020-06-01,90.56,95.80,90.21,94.84,12028800,0.00,0.00
2020-06-02,96.59,96.80,90.03,92.25,12883300,0.00,0.00
2020-06-03,99.98,103.80,95.60,98.10,21051500,0.00,0.00
2020-06-04,94.23,98.49,91.83,95.98,16371200,0.00,0.00
2020-06-05,92.73,95.98,88.87,93.93,9600600,0.00,0.00
2020-06-08,93.87,97.50,93.62,95.43,7482400,0.00,0.00
2020-06-09,96.00,96.88,93.62,93.90,4351100,0.00,0.00
2020-06-10,95.00,97.74,94.33,97.22,5816800,0.00,0.00
2020-06-11,94.85,100.12,94.22,95.04,8323200,0.00,0.00
2020-06-12,97.99,97.99,91.05,93.12,6452400,0.00,0.00
2020-06-15,92.65,100.00,91.50,99.02,9018900,0.00,0.00
2020-06-16,100.00,101.68,94.69,101.04,9808100,0.00,0.00
2020-06-17,101.64,101.74,97.77,98.69,7637700,0.00,0.00
2020-06-18,98.18,101.87,97.86,101.61,9565100,0.00,0.00
2020-06-19,103.00,104.89,100.64,101.08,10744100,0.00,0.00
2020-06-22,101.34,105.56,100.26,105.02,8418200,0.00,0.00
2020-06-23,105.80,107.30,103.15,104.27,8600900,0.00,0.00
2020-06-24,103.83,106.10,100.50,103.70,4958100,0.00,0.00
2020-06-25,103.80,108.34,103.64,105.71,6112400,0.00,0.00
2020-06-26,104.00,104.00,97.52,98.79,17438500,0.00,0.00
2020-06-29,99.77,99.77,94.18,98.10,6304600,0.00,0.00
2020-06-30,98.44,101.38,97.33,100.29,5056200,0.00,0.00
2020-07-01,100.00,103.64,99.25,102.95,5355600,0.00,0.00
2020-07-02,103.65,107.70,102.30,107.27,9061000,0.00,0.00
2020-07-06,109.34,109.68,104.71,106.39,7913100,0.00,0.00
2020-07-07,107.00,108.67,105.21,106.42,4591500,0.00,0.00
2020-07-08,107.37,114.69,107.10,114.55,6953500,0.00,0.00
2020-07-09,115.51,118.38,113.11,117.46,7064500,0.00,0.00
